Name,Price ($),Cores,Score,Thread Mark,TDP,Socket,Power Efficiency (Score/W),Price Efficiency (Score/$),Average Efficiency,URL,Power Efficiency (FPS/W)
AMD Ryzen 9 5900X,163.95,12,39151,3470,105,AM4,372.8667,238.7984,305.8325,https://www.ebay.com/itm/AMD-Ryzen-9-3900X-12-Cores-24-Threads-AM4-Socket-Desktop-Processor-/256581511796,372.8667
Intel Core i7-13700F,391.93,16,38934,4124,65,FCLGA1700,598.9846,99.3392,349.1619,https://www.ebay.com/itm/Intel-Core-i7-13700F-Desktop-Processor-16-core-8P-8E-and-24-threads-/304783750946,598.9846
AMD Ryzen 9 3950X,230.00,16,38779,2705,105,AM4,369.3238,168.6043,268.9640,https://www.ebay.com/itm/ryzen-9-3950X-Wraith-Cooler-Read-Description-One-Bad-Memory-Channel-/395540451142,369.3238
Intel Core i7-14700T,899.94,20,38482,4060,35,FCLGA1700,1099.4857,42.7606,571.1232,https://www.ebay.com/itm/HP-Elite-Mini-800-G9-Intel-i7-14700T-32GB-RAM-512GB-Gen4-SSD-Win-11-Pro-1-YR-/126560422331,1099.4857
Intel Core i5-13600K,165.00,14,38030,4142,125,FCLGA1700,304.24,230.4848,267.3624,https://www.ebay.com/itm/Intel-CM8071504821005-SRMBD-Core-i5-13600K-Processor-TESTED-W-COSMETIC-DAMAGE-/387214256899,304.2400
Intel Core i5-13600KF,234.99,14,37841,4134,125,FCLGA1700,302.728,161.0324,231.8802,https://www.ebay.com/itm/Intel-Core-i5-13600KF-13th-Gen-Raptor-Lake-14-Core-6P-8E-3-5GHz-LGA-CPU-/266844787192,302.7280
Intel Core i7-13700,229.99,16,37122,4135,65,FCLGA1700,571.1077,161.4070,366.2574,https://www.ebay.com/itm/Intel-Core-i7-13700K-13th-Gen-16-cores-8-P-cores-8-E-cores-30M-Cache-3-4-/186590448592,571.1077
Intel Core i9-12900F,300.00,16,36812,4071,65,FCLGA1700,566.3385,122.7067,344.5226,https://www.ebay.com/itm/Intel-Core-i9-12900F-12th-Gen-5-10-GHz-Processor-/235654586799,566.3385
AMD Ryzen 7 7700X,279.89,8,35927,4210,105,AM5,342.1619,128.3611,235.2615,https://www.ebay.com/itm/AMD-Ryzen-7-7700X-8-Core-16-Thread-4-5GHz-Socket-AM5-Raphael-Boxed-Processor-/255906982927,342.1619
Intel Core i5-14600,214.32,14,35047,4073,65,FCLGA1700,539.1846,163.5265,351.3555,https://www.ebay.com/itm/Intel-Core-i5-14600KF-3-5GHz-14-Core-Processor-BX8071514600KF-Used-/395478606615,539.1846
Intel Core i7-12700K,185.99,12,34623,4032,190,FCLGA1700,182.2263,186.1552,184.1908,https://www.ebay.com/itm/Intel-Core-i7-12700K-SRL4N-3-6-GHz-CPU-Processor-/126557762110,182.2263
AMD Ryzen 7 7700,189.00,8,34553,4059,65,AM5,531.5846,182.8201,357.2024,https://www.ebay.com/itm/AMD-Ryzen-7-7700x-Processor-5-4-GHz-8-Cores-LGA-1718-Socket-AM5-Box-/364951459903,531.5846
Intel Core i7-12700KF,152.99,12,34401,4014,190,FCLGA1700,181.0579,224.8578,202.9579,https://www.ebay.com/itm/Intel-Core-i5-13400-Desktop-Processor-5715-/204760297012,181.0579
AMD Ryzen 9 5900,159.00,12,34400,3449,65,AM4,529.2308,216.3522,372.7915,https://www.ebay.com/itm/AMD-Ryzen-9-3900X-Processor-Unopened-CPU-Fan-MINT-CONDITION-/226245161538,529.2308
Intel Core i9-12900,149.00,16,34282,4049,65,FCLGA1700,527.4154,230.0805,378.7480,https://www.ebay.com/itm/Intel-Core-i9-12900k-ES-LGA1700-CPU-version-code-qxlb-1-20ghz-16-core-24thread-/387148563458,527.4154
AMD Ryzen 7 7800X3D,424.79,8,34255,3749,120,AM5,285.4583,80.6398,183.0490,https://www.ebay.com/itm/AMD-Ryzen-7-7800X3D-4-2GHz-5-0-GHz-8-Core-AM5-Desktop-Processor-Boxed-/334838451412,285.4583
AMD Ryzen 9 3900XT,150.73,12,32690,2746,105,AM4,311.3333,216.8779,264.1056,https://www.ebay.com/itm/AMD-Ryzen-9-3900X-3-8-GHz-12-Core-Processor-Used-/296196612756,311.3333
AMD Ryzen 9 3900X,99.87,12,32644,2706,105,AM4,310.8952,326.8649,318.8800,https://www.ebay.com/itm/AMD-RYZEN-9-3900X-RYZEN-R7-3700X-3800X-RYZEN-R5-3600X-3500X-Socket-AM4-Processor-/256511846567?var=556719293547,310.8952
Intel Core i5-14500,276.72,14,32622,4007,65,FCLGA1700,501.8769,117.8881,309.8825,https://www.ebay.com/itm/Intel-i5-14500-14Core-2-60GHz-OC-LGA-1700-Boxed-Processor-BX8071514500-/387210302266,501.8769
AMD Ryzen 7 PRO 8700G,446.99,8,32522,3998,65,AM5,500.3385,72.7578,286.5482,https://www.ebay.com/itm/AMD-Ryzen-7-PRO-8700G-processor-4-2-GHz-16-MB-L3-100-000001238-/176448660768,500.3385
Intel Core i5-13600,165.00,14,32347,4052,65,FCLGA1700,497.6462,196.0424,346.8443,https://www.ebay.com/itm/Intel-CM8071504821005-SRMBD-Core-i5-13600K-Processor-TESTED-W-COSMETIC-DAMAGE-/387214256899,497.6462
Intel Core i5-13500,150.00,14,31979,3890,65,FCLGA1700,491.9846,213.1933,352.5890,https://www.ebay.com/itm/Intel-Core-i5-13500T-SRMBQ-4-60-Ghz-Desktop-CPU-Turbo-Boost-CPU-ONLY-SYSTEM-PULL-/285964654993,491.9846
AMD Ryzen 7 8700G,289.98,8,31725,3934,65,AM5,488.0769,109.4041,298.7405,https://www.ebay.com/itm/AMD-Ryzen-7-8700G-Phoenix-AM5-4-2GHz-8-Core-Boxed-Processor-Wraith-Spire-Coole-/176287793176,488.0769
AMD Ryzen 9 PRO 3900,"1,000.00",12,31609,2692,65,AM4,486.2923,31.6090,258.9506,https://www.ebay.com/itm/Custom-PC-/134906455339,486.2923
AMD Ryzen 7 8700F,269.00,8,30918,3882,65,AM5,475.6615,114.9368,295.2991,https://www.ebay.com/itm/AMD-Ryzen-7-8700F-4-1-Ghz-Ryzen-7-8000-Series-8-Core-16-Threads-Socket-AM5-/387015171346,475.6615
AMD Ryzen 9 3900,135.00,12,30818,2622,65,AM4,474.1231,228.2815,351.2023,https://www.ebay.com/itm/AMD-Ryzen-9-3900X-12-Core-CPU-3-8GHz-Socket-AM4-/405113763432,474.1231
Intel Core i7-12700,107.00,12,30789,3912,65,FCLGA1700,473.6769,287.7477,380.7123,https://www.ebay.com/itm/Intel-Core-i7-12700-ES-QXQ4-12C-8P-4E-20T-TB-4-0GHz-LGA1700-12-cores-20-threads-/387106057537,473.6769
Intel Core i7-12700F,220.00,12,30647,3873,65,FCLGA1700,471.4923,139.3045,305.3984,https://www.ebay.com/itm/Intel-Core-i7-12700F-2-10GHz-12-Core-20-Thread-CPU-SRL4R-/386763640631,471.4923
AMD Ryzen 7 PRO 8700GE,10000000,8,30588,3988,35,AM5,873.9429,0.0031,436.9730,,873.9429
Intel Core i9-12900T,379.99,16,30093,3818,35,FCLGA1700,859.8,79.1942,469.4971,https://www.ebay.com/itm/Intel-Core-i9-12900T-1-4-GHz-up-4-9-GHz-Turbo-CPU-Processor-/126391387599,859.8000
Intel Core i5-14600T,10000000,14,29449,4153,35,FCLGA1700,841.4,0.0029,420.7014,https://www.ebay.com/itm/4-Pack-HIGH-POWER-Low-Profile-CPU-Fan-Intel-i7-i5-i3-i9-Socket-LGA-1700-Cooler-/285920018774?var=587977066321,841.4000
AMD Ryzen Threadripper 2950X,605.95,16,29433,2459,180,sTR4,163.5167,48.5733,106.0450,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-3955WX-16-Core-3-9GHz-100-000000167-Lenovo-Locked-/296390801540,163.5167
AMD Ryzen 5 7600X,147.68,6,28496,4149,105,AM5,271.3905,192.9577,232.1741,https://www.ebay.com/itm/AMD-Ryzen-5-7600-3-8-GHz-6-Core-Processor-Used-/296500691164,271.3905
AMD Ryzen 7 5800X3D,269.99,8,28282,3230,105,AM4,269.3524,104.7520,187.0522,https://www.ebay.com/itm/AMD-Ryzen-7-5800X3D-8-core-16-Thread-Desktop-Processor-AMD-3D-P5-/204758355413,269.3524
AMD Ryzen 7 5800X,135.00,8,27875,3445,105,AM4,265.4762,206.4815,235.9789,https://www.ebay.com/itm/AMD-Ryzen-7-5800X-Processor-4-7GHz-8-Cores-Socket-AM4-Box-100-100000063WOF-/145909435677,265.4762
Intel Core i5-12600K,119.99,10,27719,3950,150,FCLGA1700,184.7933,231.0109,207.9021,https://www.ebay.com/itm/Intel-Core-i5-12600k-SRL4T-2-5Ghz-CPU-Processor-/126557755095,184.7933
AMD Ryzen Threadripper 1950X,299.99,16,27561,2275,180,sTR4,153.1167,91.8731,122.4949,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-1950x-3-4GHz-16-Core-32-Threads-sTR4-CPU-Processor-/126445302846,153.1167
Intel Core i5-12600KF,87.99,10,27503,3927,150,FCLGA1700,183.3533,312.5696,247.9614,https://www.ebay.com/itm/Intel-Core-i5-12600KF-Core-i5-12th-Gen-Alder-Lake-10-Core-6P-4E-3-7-GHz-LGA-/375148696798?var=644191544847,183.3533
Intel Core i5-13490F,215.00,10,27496,3894,65,FCLGA1700,423.0154,127.8884,275.4519,https://www.ebay.com/itm/13Th-Gen-Intel-Core-I5-13490F-LGA1700-CPU-Processor-2-5GHz-6P-4E-10-Core-16Thr-/175674492646,423.0154
Intel Core i5-13600T,199.98,14,27250,3736,35,FCLGA1700,778.5714,136.2636,457.4175,https://www.ebay.com/itm/Intel-Core-i5-13600T-CPU-1-8GHz-4-8GHz-14-Core-LGA1700-Processor-SRMBL-/134996406963,778.5714
Intel Core i7-13700T,329.99,16,27126,3897,35,FCLGA1700,775.0286,82.2025,428.6155,https://www.ebay.com/itm/Lenovo-Thinkcentre-M80Q-G4-Tiny-PC-Intel-Core-i7-13700T-16GB-RAM-512GB-SSD-W11P-/156139131723,775.0286
AMD Ryzen 7 5700X,115.00,8,26679,3383,65,AM4,410.4462,231.9913,321.2188,https://www.ebay.com/itm/AMD-Ryzen-7-3700X-8-Core-3-4GHz-Socket-AM4-65W-CPU-Desktop-Processor-/166572951675,410.4462
AMD Ryzen 7 5700X3D,313.50,8,26379,2988,105,AM4,251.2286,84.1435,167.6860,https://www.ebay.com/itm/Brand-NEW-AMD-processor-Ryzen-7-5700X3D-8-Core-16-Threads-Desktop-Processor-/226206959139,251.2286
AMD Ryzen 7 PRO 5845,"1,051.86",8,25961,3439,65,AM4,399.4,24.6810,212.0405,https://www.ebay.com/itm/Lenovo-ThinkStation-P358-30GL0052US-Workstation-AMD-Ryzen-7-PRO-5845-16-GB-/335463500715,399.4000
Intel Core i5-14400,228.36,10,25955,3785,148,FCLGA1700,175.3716,113.6583,144.5149,https://www.ebay.com/itm/Intel-Core-i5-14400F-Desktop-Processor-/126275456933,175.3716
Intel Core i5-14400F,429.00,10,25800,3715,148,FCLGA1700,174.3243,60.1399,117.2321,https://www.ebay.com/itm/Intel-i5-14400F-CPU-3-5GHz-4-7GHz-Turbo-14th-Gen-LGA1700-10-Cores-16-Threads-2-/126323323714,174.3243
AMD Ryzen 5 PRO 8600GE,10000000,6,25776,3908,35,AM5,736.4571,0.0026,368.2298,,736.4571
Intel Core i5-14400T,347.95,10,25774,3741,82,FCLGA1700,314.3171,74.0739,194.1955,https://www.ebay.com/itm/Intel-Core-i5-i5-14400T-1-5-GHz-10-core-16-threads-20-MB-cache-/395549756852,314.3171
AMD Ryzen 7 5800,135.00,8,25767,3388,65,AM4,396.4154,190.8667,293.6411,https://www.ebay.com/itm/AMD-Ryzen-7-5800X-Processor-4-7GHz-8-Cores-Socket-AM4-Box-100-100000063WOF-/145909435677,396.4154
AMD Ryzen Threadripper 2920X,132.69,12,25469,2490,180,sTR4,141.4944,191.9436,166.7190,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-2920X-3-5-GHz-12-Core-YD292XA8AFWOF-Processor-/204804810289,141.4944
AMD Ryzen 5 8600G,199.00,6,25315,3864,65,AM5,389.4615,127.2111,258.3363,https://www.ebay.com/itm/AMD-Ryzen-5-8600G-6-core-12-thread-4-3-GHz-5-0-GHz-Max-Boost-Socket-A-/326022298551,389.4615
AMD Ryzen 5 PRO 8600G,"123,456.00",6,25288,3872,65,AM5,389.0462,0.2048,194.6255,https://www.ebay.com/itm/AMD-Ryzen-5-PRO-8600G-processor-4-3-GHz-16-MB-L3-100-000001239-/176448661023,389.0462
Intel Core i5-13400F,166.98,10,25212,3654,148,FCLGA1700,170.3514,150.9881,160.6698,https://www.ebay.com/itm/Intel-Core-i5-13400F-Desktop-Processor-10-cores-6-P-cores-4-E-cores-20MB-Cac-/304760006780,170.3514
Intel Core i5-13400,130.00,10,24902,3692,154,FCLGA1700,161.7013,191.5538,176.6275,https://www.ebay.com/itm/Intel-CM8071504821107-SRMBG-Core-i5-13400F-Processor-TESTED-W-COSMETIC-DAMAGE-/204904242380,161.7013
AMD Ryzen 7 5700G,122.49,8,24557,3283,65,AM4,377.8,200.4817,289.1409,https://www.ebay.com/itm/AMD-Ryzen-7-5700G-AM4-3-8GHz-8-Core-16-Thread-Processor-Used-/394592046198,377.8000
AMD Ryzen 7 PRO 5750G,245.00,8,24421,3314,65,AM4,375.7077,99.6776,237.6926,https://www.ebay.com/itm/AMD-Ryzen-7-PRO-5750G-Processor-4-6-GHz-8-Cores-Socket-AM4-Tray-/156262873004,375.7077
AMD Ryzen 5 8400F,169.00,6,24375,3671,65,AM5,375,144.2308,259.6154,https://www.ebay.com/itm/AMD-Ryzen-5-8400F-4-2-GHz-Ryzen-5-8000-Series-6-Core-12-Threads-Socket-AM-/296432767583,375.0000
Intel Core i5-14500T,679.99,14,24239,3731,35,FCLGA1700,692.5429,35.6461,364.0945,https://www.ebay.com/itm/Dell-OptiPlex-7020-Desktop-PC-Intel-Core-i5-14500T-16GB-Ram-256GB-SSD-Micro-PC-/386977820273,692.5429
AMD Ryzen 7 3800XT,220.00,8,23623,2802,105,AM4,224.981,107.3773,166.1791,https://www.ebay.com/itm/ASUS-TUF-Gaming-X570-Plus-AM4-Motherboard-AMD-Ryzen-7-3800XT-/315582423327,224.9810
Intel Core i5-13500T,150.00,14,23425,3634,92,FCLGA1700,254.6196,156.1667,205.3931,https://www.ebay.com/itm/Intel-Core-i5-13500T-SRMBQ-4-60-Ghz-Desktop-CPU-Turbo-Boost-CPU-ONLY-SYSTEM-PULL-/285964654993,254.6196
AMD Ryzen 7 3800X,103.99,8,23159,2717,105,AM4,220.5619,222.7041,221.6330,https://www.ebay.com/itm/AMD-Ryzen-7-3800X-Processor-3-9GHz-8-Cores-Socket-AM4-Boxed-/186587048021,220.5619
AMD Ryzen Threadripper 1920X,108.00,12,23104,2319,180,sTR4,128.3556,213.9259,171.1408,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-1920X-12-Core-24-Threads-3-5GHz-32MB-Processor-180W-/126573697069,128.3556
AMD Ryzen 7 PRO 3700,90.00,8,22916,2685,65,AM4,352.5538,254.6222,303.5880,https://www.ebay.com/itm/AMD-Ryzen-7-PRO-3700-AM4-Socket-3-6GHz-8-Core-16-Thread-/266866348247,352.5538
AMD Ryzen 7 3700X,64.69,8,22557,2660,65,AM4,347.0308,348.6938,347.8623,https://www.ebay.com/itm/AMD-Ryzen-7-3700X-Ryzen-7-R7-2700x-Ryzen-7-R7-1700X-Socket-AM4-CPU-Processor-/315554285364?var=0,347.0308
AMD Ryzen 7 5700GE,207.00,8,22313,3348,35,AM4,637.5143,107.7923,372.6533,https://www.ebay.com/itm/AMD-RYZEN-7-5700GE-Desktop-Processor-Socket-AM4-ZEN-3-R7-100-000000260-35W-TDP-/186379423183,637.5143
AMD Ryzen 5 5600X3D,319.95,6,22096,3214,105,AM4,210.4381,69.0608,139.7494,https://www.ebay.com/itm/AMD-Ryzen-5-5600X3D-Vermeer-AM4-3-3GHz-6-Core-Boxed-Processor-100-100001176WO-/285369883910,210.4381
AMD Ryzen 5 PRO 8500G,370.95,6,22076,3924,65,AM5,339.6308,59.5121,199.5714,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-8500G-3-5-GHz-6-core-12-threads-16-MB-cache-100-000001183-/405086169024,339.6308
AMD Ryzen Threadripper 1920,108.00,12,22066,2299,140,sTR4,157.6143,204.3148,180.9645,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-1920X-12-Core-24-Threads-3-5GHz-32MB-Processor-180W-/126573697069,157.6143
AMD Ryzen 5 5600X,90.00,6,21895,3360,65,AM4,336.8462,243.2778,290.0620,https://www.ebay.com/itm/AMD-RYZEN-5-5600X-HEXA-CORE-3-70-GHZ-TURBO-BOOST-4-60-GHZ-AM4-CPU-112674-/266921205055,336.8462
AMD Ryzen 7 PRO 5750GE,369.00,8,21893,3306,35,AM4,625.5143,59.3306,342.4225,https://www.ebay.com/itm/AMD-Ryzen-7-PRO-5750GE-AM4-CPU-Processor-3-2-GHz-8-Core-16-thr-35W-R7-Pro-5750ge-/175335373709,625.5143
AMD Ryzen 5 8500G,184.00,6,21678,3901,65,AM5,333.5077,117.8152,225.6615,https://www.ebay.com/itm/AMD-Ryzen-5-8500G-Desktop-Processor-AMD-Wraith-Stealth-Cooler-and-Radeon-74-/126337117688,333.5077
AMD Ryzen 5 5600,80.00,6,21572,3257,65,AM4,331.8769,269.6500,300.7634,https://www.ebay.com/itm/HP-Victus-15-FB-AMD-Ryzen-5-5600H-RX6500M-4GB-Motherboard-N14591-601-DAG3PMB58B0-/335500480986,331.8769
Intel Core i7-12700T,304.99,12,21538,3627,35,FCLGA1700,615.3714,70.6187,342.9950,https://www.ebay.com/itm/N00333-003-CPU-Intel-I7-12700T-12C-LGA-1-40g-35W-/135161861726,615.3714
AMD Ryzen 5 PRO 8500GE,10000000,6,21426,3903,35,AM5,612.1714,0.0021,306.0867,,612.1714
Intel Core i5-13400T,159.99,10,21147,3507,82,FCLGA1700,257.8902,132.1770,195.0336,https://www.ebay.com/itm/Intel-Core-i5-13400T-Raptor-Lake-SRMBR-10-Core-Max-4-4-GHz-LGA1700-CPU-/264566058351,257.8902
AMD Ryzen 5 PRO 5650G,149.99,6,20786,3252,65,AM4,319.7846,138.5826,229.1836,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-5650G-6-Core-3-9GHz-Desktop-Processor-CPU-100-000000255-/405066063351,319.7846
AMD Ryzen 7 PRO 4750G,130.00,8,20486,2716,65,AM4,315.1692,157.5846,236.3769,https://www.ebay.com/itm/AMD-Ryzen-7-PRO-4750G-AM4-CPU-Processor-R7-PRO-4750G-Desktop-3-6GHz-8Core-65W-/174586133423,315.1692
Intel Core i5-12490F,110.00,6,20413,3717,65,LGA1700,314.0462,185.5727,249.8094,https://www.ebay.com/itm/OverKlock-EL1TE-H610-Express-12-13-14-Gen-Motherboard-1700-LGA-Socket-/355596816606,314.0462
AMD Ryzen 5 5500GT,114.86,6,20352,3218,65,AM4,313.1077,177.1896,245.1487,https://www.ebay.com/itm/AMD-Ryzen-5-5500GT-Ryzen-5-5000-Series-6-Core-3-6-GHz-Socket-AM4-65W-AMD-Radeo-/305381318891,313.1077
AMD Ryzen 7 4700G,130.00,8,20149,2742,65,AM4,309.9846,154.9923,232.4885,https://www.ebay.com/itm/AMD-Ryzen-7-4700G-3-6-4-4GHz-8Core-16Thr-Socket-AM4-65W-CPU-Processor-R7-4700G-/226249030386,309.9846
AMD Ryzen 5 5600GT,"123,456.00",6,20057,3344,65,AM4,308.5692,0.1625,154.3659,https://www.ebay.com/itm/AMD-Ryzen-5-5600GT-processor-3-6-GHz-16-MB-L3-100-000001488-/176340573380,308.5692
AMD Ryzen 5 5600G,82.00,6,19891,3191,65,AM4,306.0154,242.5732,274.2943,https://www.ebay.com/itm/USED-AMD-Ryzen-5-5600G-Processor-3-9-GHz-6-Cores-Socket-AM4-/364940472876,306.0154
AMD Ryzen 7 4700GE,165.00,8,19831,2681,35,AM4,566.6,120.1879,343.3940,https://www.ebay.com/itm/AMD-Ryzen-7-PRO-4700GE-4750GE-8Core-3-1-GHz-CPU-Processor-R7-4700GE-/144522736727,566.6000
AMD Ryzen 7 PRO 4700G,250.00,8,19786,2668,65,AM4,304.4,79.1440,191.7720,https://www.ebay.com/itm/HP-M01-F1024-AMD-Ryzen-7-4700G-32GB-RAM-256GB-SSD-Used-/156297142123,304.4000
[Dual CPU] Intel Core i5-12400F,10000000,6,19680,3630,65,FCLGA1700,302.7692,0.0020,151.3856,,302.7692
Intel Core i5-12400F,75.99,6,19542,3505,65,FCLGA1700,300.6462,257.1654,278.9058,https://www.ebay.com/itm/Intel-Core-i5-12400F-SRL5Z-4-4-GHz-CPU-Processor-/126584233175,300.6462
Intel Core i9-9900KS @ 4.00GHz,396.00,8,19491,3037,127,FCLGA1151-2,153.4724,49.2197,101.3460,https://www.ebay.com/itm/Intel-Core-i9-9900KS-SRG1Q-4-00GHz-8-Cores-16-Threads-16MB-LGA1151-CPU-Processor-/395503782206,153.4724
AMD Ryzen 5 5500,86.99,6,19427,3059,65,AM4,298.8769,223.3245,261.1007,https://www.ebay.com/itm/AMD-Ryzen-5-5500-6-Core-12-Thread-Socket-AM4-CPU-Processor-OEM-Tray-/266554838085,298.8769
AMD Ryzen 5 5600GE,148.00,6,18753,3214,35,AM4,535.8,126.7095,331.2548,https://www.ebay.com/itm/AMD-Ryzen-R5-5600GE-3-40GHz-6-core-12-thread-35W-AM4-CPU-processor-/355718085791,535.8000
AMD Ryzen 5 3600XT,185.00,6,18649,2760,95,AM4,196.3053,100.8054,148.5554,https://www.ebay.com/itm/AMD-Ryzen-5-3600XT-Processor-4-5-GHz-6-Cores-Socket-AM4-100-100000281BOX-/404953249781,196.3053
AMD Ryzen 7 PRO 4750GE,147.99,8,18431,2684,35,AM4,526.6,124.5422,325.5711,https://www.ebay.com/itm/AMD-Ryzen-7-Pro-4750GE-3-10-GHz-Socket-AM4-Desktop-CPU-Processor-100-000000152-/364760954348,526.6000
AMD Ryzen 5 PRO 5650GE,200.00,6,18367,3177,35,AM4,524.7714,91.8350,308.3032,https://www.ebay.com/itm/AMD-RYZEN-5-Pro-5650GE-Desktop-Processor-Socket-AM4-100-000000258-35W-TDP-Unlock-/186028776288,524.7714
Intel Core i9-9900KF @ 3.60GHz,296.70,8,18305,2931,95,FCLGA1151-2,192.6842,61.6953,127.1898,https://www.ebay.com/itm/Intel-Core-i9-9900KF-LGA-1151-CPU-Processor-Coffee-Lake-8C-16T-3-6GHz-SRG1A-/386112446930,192.6842
Intel Core i9-9900K @ 3.60GHz,215.99,8,18284,2930,95,FCLGA1151-2,192.4632,84.6521,138.5576,https://www.ebay.com/itm/Intel-Core-i9-9900K-SRELS-3-60GHz-CPU-Processor-/126496440738,192.4632
AMD Ryzen 5 3600X,63.00,6,18202,2653,95,AM4,191.6,288.9206,240.2603,https://www.ebay.com/itm/AMD-Ryzen-5-3600X-Desktop-Processor-AM4-6-cores-R5-100-000000022-Good-Work-/175215815926,191.6000
AMD Ryzen 5 3600,39.00,6,17754,2567,65,AM4,273.1385,455.2308,364.1847,https://www.ebay.com/itm/AMD-Ryzen-5-2600-Processor-3-6-GHz-6-Cores-Socket-AM4-PLEASE-READ-/355892782251,273.1385
AMD Ryzen 5 PRO 3600,250.00,6,17606,2528,65,AM4,270.8615,70.4240,170.6427,https://www.ebay.com/itm/AMD-BUNDLE-B550M-PRO-VDH-WIFI-RYZEN-5-5600-CORSAIR-VENGEANCE-2x8GB-3600-MHz-/196495169275,270.8615
Intel Core i5-12600T,145.99,6,17576,3480,35,FCLGA1700,502.1714,120.3918,311.2816,https://www.ebay.com/itm/Intel-Core-i5-12600T-Gen-12-6C12T-2-1-4-6-GHz-Processor-SRL5U-LGA1700-CPU-/116102071813,502.1714
AMD Ryzen 7 2700X,49.99,8,17527,2421,105,AM4,166.9238,350.6101,258.7670,https://www.ebay.com/itm/AMD-Ryzen-7-2700X-3-7GHz-3700-MHz-Socket-AM4-2x8MB-8-Core-/166803522318,166.9238
AMD Ryzen 5 4400G,10000000,6,17160,2711,65,AM4,264,0.0017,132.0009,,264.0000
AMD Ryzen 7 PRO 2700X,529.99,8,16908,2257,105,AM4,161.0286,31.9025,96.4656,https://www.ebay.com/itm/Custom-Gaming-PC-Desktop-Computer-1TB-SSD-16GB-RAM-RYZEN-7-2700X-MSI-1660-/276539560285,161.0286
AMD Ryzen Threadripper 1900X,75.00,8,16800,2326,180,sTR4,93.3333,224.0000,158.6667,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-1900X-8-core-16-thread-3-80GHz-tr4-180W-CPU-processor-/404985731361,93.3333
Intel Core i5-12500T,80.00,6,16578,3518,35,FCLGA1700,473.6571,207.2250,340.4411,https://www.ebay.com/itm/Intel-Core-i5-i5-12500T-SRL5W-2-00GHz-CPU-Processor-6-Core-LGA1700-/176395447660,473.6571
Intel Core i9-9900 @ 3.10GHz,237.50,8,16510,2834,65,FCLGA1151-2,254,69.5158,161.7579,https://www.ebay.com/itm/Intel-Core-i9-9900-3-10GHz-8-Core-16MB-LGA-1151-CPU-SRG18-/166861196795,254.0000
AMD Ryzen 7 1800X,182.35,8,16374,2198,95,AM4,172.3579,89.7944,131.0761,https://www.ebay.com/itm/AMD-Ryzen-7-1800X-R7-1800X-YD180XBCM88AE-3-6-GHz-8Core-Socket-AM4-CPU-Processors-/145221210914,172.3579
AMD Ryzen 5 PRO 4655G,10000000,6,16355,2696,65,AM4,251.6154,0.0016,125.8085,,251.6154
AMD Ryzen 5 PRO 4650G,99.90,6,16179,2655,65,AM4,248.9077,161.9520,205.4298,https://www.ebay.com/itm/AMD-RYZEN-9-5900X-R7-5800X-5700X-5700GE-R5-5600X-5600GE-Pro-4750GE-4650G-AM4-/186380359127?var=694608749572,248.9077
Intel Core i5-12400T,199.50,6,16158,3379,74,FCLGA1700,218.3514,80.9925,149.6720,https://www.ebay.com/itm/1X-12th-Gen-Intel-Core-i5-12400T-1-80GHz-6-Core-LGA1700-18MB-Desktop-CPU-SRL5X-/126532280160,218.3514
AMD Ryzen 5 4500,59.40,6,16142,2597,65,AM4,248.3385,271.7508,260.0447,https://www.ebay.com/itm/AMD-Ryzen-5-4500-Desktop-Processor-Socket-AM4-100-000000644-Six-Core-Zen-2-7nm-/175666615291,248.3385
AMD Ryzen 5 4600G,70.04,6,16067,2658,65,AM4,247.1846,229.3975,238.2910,https://www.ebay.com/itm/AMD-Ryzen-5-4600G-6-Cores-4-2GHz-Socket-AM4-CPU-Processor-Used-/386772503797,247.1846
AMD Ryzen 5 4600GE,369.99,6,15823,2630,35,AM4,452.0857,42.7660,247.4258,https://www.ebay.com/itm/Lenovo-Ideacentre-AIO-A540-24Api-23-8-Touchscreen-Ryzen-5-4600GE-12GB-256GB-SSD-/155848398723,452.0857
AMD Ryzen 7 2700,49.99,8,15705,2179,65,AM4,241.6154,314.1628,277.8891,https://www.ebay.com/itm/AMD-Ryzen-7-2700X-3-7GHz-3700-MHz-Socket-AM4-2x8MB-8-Core-/166803522318,241.6154
AMD Ryzen 7 1700X,42.49,8,15674,2101,95,AM4,164.9895,368.8868,266.9382,https://www.ebay.com/itm/AMD-RYZEN-7-1700X-CPU-/116246857001,164.9895
AMD Ryzen 7 PRO 1700X,319.99,8,15602,2141,95,AM4,164.2316,48.7578,106.4947,https://www.ebay.com/itm/Dell-INSPIRON-5675-512GB-8GB-RAM-Ryzen-7-1700X-Radeon-Pro-460-W10H-Grade-B-/134898070933,164.2316
